,name,movie_directed,num_of_movie,sum_score,sum_nor_popularity,avg_score,avg_nor_popularity,nor_movie_count,scaled_avg_score
402,Ryan Polito,"['tm72845', 'tm316731', 'tm245148', 'tm193378', 'tm408306', 'tm320756', 'tm465231', 'tm835445', 'tm1207097', 'tm1207098', 'tm1185421', 'tm1207099', 'tm1207096', 'tm1174920', 'tm1200703']",15,94.2,67.0,6.279999999999999,4.466666666666667,8.843512048299418,0.63
403,Jake Szymanski,['tm72845'],1,8.149999999999999,5.2,8.149999999999999,5.2,0.0,0.82
404,Tim Hill,['tm170758'],1,5.550000000000001,6.5,5.550000000000001,6.5,0.0,0.56
405,Catherine Hardwicke,['tm174256'],1,5.7,7.0,5.7,7.0,0.0,0.57
406,John Mitchell,['tm56296'],1,6.949999999999999,5.0,6.949999999999999,5.0,0.0,0.7
407,Jeremy Kipp Walker,['tm56296'],1,6.949999999999999,5.0,6.949999999999999,5.0,0.0,0.7
408,Todd Strauss-Schulson,['tm160371'],1,6.1,6.7,6.1,6.7,0.0,0.61
409,Cal Brunker,['tm183547'],1,5.75,6.4,5.75,6.4,0.0,0.58
410,Tatsuya Nagamine,['tm59590'],1,7.65,6.3,7.65,6.3,0.0,0.77
411,Lee Hirsch,['tm161904'],1,7.300000000000001,5.6000000000000005,7.300000000000001,5.6000000000000005,0.0,0.73
412,Nadine Khan,['tm44165'],1,6.6,3.1,6.6,3.1,0.0,0.66
413,Eliane Raheb,['tm57436'],1,7.5,2.7,7.5,2.7,0.0,0.75
414,Eric Idle,"['tm72251', 'tm148597']",2,14.5,9.5,7.25,4.75,1.7243743076436346,0.73
415,Aubrey Powell,"['tm72251', 'tm148597']",2,14.5,9.5,7.25,4.75,1.7243743076436346,0.73
416,Susan Lacy,['tm53625'],1,7.449999999999999,4.6000000000000005,7.449999999999999,4.6000000000000005,0.0,0.74
417,Michael Damian,['tm160361'],1,6.699999999999999,6.0,6.699999999999999,6.0,0.0,0.67
